Metadata_Plate,Metadata_Well,Metadata_Site,nuclei_locations_csv,dna_path,rna_path,er_path,agp_path,mito_path
BR00117035,A01,1,D:\CellPainting-Claw-main2\CellPainting-Claw-main\demo\workspace\outputs\deepprofiler_pipeline\deepprofiler_export\locations\BR00117035\A01\A01-site_1.csv,D:\CellPainting-Claw-main2\CellPainting-Claw-main\demo\workspace\reference_data\BR00117035\A01\r01c01f01p01-ch5sk1fk1fl1.tiff,D:\CellPainting-Claw-main2\CellPainting-Claw-main\demo\workspace\reference_data\BR00117035\A01\r01c01f01p01-ch3sk1fk1fl1.tiff,D:\CellPainting-Claw-main2\CellPainting-Claw-main\demo\workspace\reference_data\BR00117035\A01\r01c01f01p01-ch4sk1fk1fl1.tiff,D:\CellPainting-Claw-main2\CellPainting-Claw-main\demo\workspace\reference_data\BR00117035\A01\r01c01f01p01-ch2sk1fk1fl1.tiff,D:\CellPainting-Claw-main2\CellPainting-Claw-main\demo\workspace\reference_data\BR00117035\A01\r01c01f01p01-ch1sk1fk1fl1.tiff
BR00117035,A02,1,D:\CellPainting-Claw-main2\CellPainting-Claw-main\demo\workspace\outputs\deepprofiler_pipeline\deepprofiler_export\locations\BR00117035\A01\A02-site_1.csv,D:\CellPainting-Claw-main2\CellPainting-Claw-main\demo\workspace\reference_data\BR00117035\A02\r01c02f01p01-ch5sk1fk1fl1.tiff,D:\CellPainting-Claw-main2\CellPainting-Claw-main\demo\workspace\reference_data\BR00117035\A02\r01c02f01p01-ch3sk1fk1fl1.tiff,D:\CellPainting-Claw-main2\CellPainting-Claw-main\demo\workspace\reference_data\BR00117035\A02\r01c02f01p01-ch4sk1fk1fl1.tiff,D:\CellPainting-Claw-main2\CellPainting-Claw-main\demo\workspace\reference_data\BR00117035\A02\r01c02f01p01-ch2sk1fk1fl1.tiff,D:\CellPainting-Claw-main2\CellPainting-Claw-main\demo\workspace\reference_data\BR00117035\A02\r01c02f01p01-ch1sk1fk1fl1.tiff
