Metadata_Plate,Metadata_Well,Metadata_ControlType,Metadata_Treatment,PC1,PC2
BR00117035,A01,negative_control,DMSO,-86.57944328765336,5.11450257145718e-13
BR00117035,A02,negative_control,DMSO,86.57944328765336,-5.11450257145718e-13
