Nuclei_Location_Center_X,Nuclei_Location_Center_Y
333.46907216494844,26.16881443298969
265.7197563098346,30.47345517841601
1002.9717741935484,30.36290322580645
384.9041850220264,67.42731277533039
167.2942779291553,71.13442325158947
56.945427728613566,89.5169616519174
514.0194805194806,108.94897959183672
130.8647506339814,146.24852071005918
39.62947368421053,158.06736842105263
965.9211009174312,151.90091743119265
186.7506132461161,165.88716271463613
877.3973214285714,165.26964285714286
417.9555984555985,172.8889961389961
988.1695804195804,176.82692307692307
515.4966777408638,187.74252491694352
606.0123216601816,183.4792477302205
265.3845462713387,200.3737646001797
940.6054872280038,205.77388836329237
265.345521023766,236.3967093235832
243.98045602605865,252.42671009771988
95.47076239822354,275.26498889711326
145.74079754601226,306.12576687116564
440.582218725413,318.2879622344611
160.99556868537667,327.5096011816839
329.14850036576445,366.6086320409656
105.84525939177102,425.0393559928444
270.83008573655496,431.0514419329696
556.9082437275986,491.784229390681
477.5040116703136,495.673231218089
92.54445385266725,518.7408975444539
572.1256599788807,560.6451953537487
348.808094905792,561.5652477320307
452.5507712082262,580.9794344473007
224.50886262924664,618.9615952732644
632.924075924076,620.8981018981019
958.71484375,629.6572265625
64.66261925411969,656.0138768430182
405.7296511627907,658.7158430232558
595.0993288590604,666.6348993288591
619.9454770755887,679.7868649318464
735.208457415128,692.3359142346635
35.47450657894737,714.1784539473684
654.5509367681499,757.2915690866511
916.3446808510638,761.6755319148937
505.49355432780845,767.598526703499
534.7442778216259,777.3867403314918
782.4461305007587,804.236722306525
837.1412803532008,820.0110375275938
267.0671091445428,832.4188790560472
151.43400621118013,839.5077639751553
488.9733023795705,850.6970400464306
629.1571753986333,853.6605922551253
656.4991525423728,869.7847457627119
68.33021077283372,891.7751756440281
588.959236773634,890.3139635732871
194.66614785992215,900.1859922178988
1056.464247598719,935.7321237993596
291.3821399839099,948.7964601769912
17.697402597402597,959.7493506493506
613.7812244897959,958.5151020408164
704.3502235469449,973.1728763040238
809.4795486600847,988.7637517630466
226.17604912998976,995.8444216990788
882.6680672268908,996.37675070028
580.5345821325649,1016.9063400576368
69.89635316698656,1022.5019193857966
930.9626307922272,1026.4484304932737
267.5156069364162,1043.3202312138728
