Nuclei_Location_Center_X,Nuclei_Location_Center_Y
902.2392026578073,36.04651162790697
665.2904109589041,42.0
759.4527089072544,61.30762167125803
850.6984126984127,68.83174603174604
382.1054054054054,82.8445945945946
640.9190243902439,87.32487804878049
459.27520661157024,101.58264462809916
150.5947622329428,121.49896623018608
615.8508522727273,134.68323863636363
501.3473053892216,140.59131736526948
522.4435857805255,155.67233384853168
703.6635367762128,153.04068857589985
220.0895061728395,179.42798353909464
957.0023020257828,183.1450276243094
566.5073375262054,194.70964360587
516.9392971246007,214.4664536741214
849.9977238239758,232.2761760242792
535.78216374269,230.7748538011696
325.3720930232558,237.218023255814
922.2065868263472,248.2191616766467
769.027027027027,267.65765765765764
273.45474613686537,264.8395879323032
879.5113333333334,312.292
189.04295942720765,339.4049323786794
938.0419047619048,341.9580952380952
1038.515825491873,348.2343883661249
950.7234042553192,357.9756838905775
366.745406824147,361.0778652668416
900.0631929046564,369.6784922394679
160.01169590643275,399.6798245614035
147.93617021276594,419.0490998363339
881.1535433070866,418.3257874015748
849.5315789473684,428.1307692307692
27.912371134020617,470.5171821305842
177.21195652173913,509.74844720496895
256.163052905464,530.2046834345186
633.7832874196511,534.6354453627181
237.05706702057063,552.0285335102853
485.9181117533719,555.5221579961465
804.9373949579832,596.9542016806722
134.60207612456747,604.2941176470588
127.96019900497512,631.0895522388059
985.9484286865433,704.4609186140209
85.49072356215213,736.5324675324675
687.9952885747939,848.4075382803298
798.7138888888888,878.2824074074074
916.8517156862744,904.0281862745098
670.458115183246,907.2185863874346
783.82096069869,950.2467248908296
696.1636876763876,957.1928504233302
645.6154649947754,969.4440961337511
928.124835742444,976.2706964520368
477.37421665174577,989.8084153983884
511.6145922746781,996.3991416309012
211.1837307152875,1060.1514726507714
